Ranking,County,Adherents,Percent
99,Douglas County,256,0.54
153,Douglas County,,
145,Dubuque County,70,0.07
9,Dukes County,923,5.58
135,DuPage County,1513,0.17
75,Durham County,2282,0.85
76,Dutchess County,2479,0.83
94,Duval County,5083,0.59
141,Eagle County,60,0.11
129,East Baton Rouge Parish,991,0.23
153,Eaton County,,
141,Eau Claire County,105,0.11
139,Ector County,172,0.13
153,Edgecombe County,,
153,Effingham County,,
145,El Dorado County,130,0.07
137,El Paso County,912,0.15
128,El Paso County,1915,0.24
153,Ellis County,,
153,Ellis County,,
66,Emmet County,319,0.98
74,Erie County,7924,0.86
137,Erie County,113,0.15
131,Erie County,600,0.21
132,Escambia County,586,0.2
60,Essex County,8708,1.17
20,Essex County,23392,2.98
153,Essex County,,
153,Etowah County,,
137,Fairbanks North Star Borough,151,0.15
5,Fairfax city,1771,7.85
106,Fairfax County,5132,0.47
35,Fairfield County,18323,2
153,Fairfield County,,
1,Falls Church city,4015,32.56
153,Faulkner County,,
126,Fayette County,273,0.26
104,Fayette County,1440,0.49
148,Fayette County,59,0.04
119,Fayette County,81,0.33
138,Flagler County,135,0.14
142,Flathead County,94,0.1
141,Florence County,151,0.11
141,Floyd County,105,0.11
153,Floyd County,,
153,Fluvanna County,,
153,Fond du Lac County,,
153,Ford County,,
135,Forrest County,124,0.17
153,Forsyth County,,
132,Forsyth County,702,0.2
140,Fort Bend County,686,0.12
153,Franklin County,,
153,Franklin County,,
153,Franklin County,,
153,Franklin County,,
75,Franklin County,9936,0.85
153,Franklin County,,
153,Franklin County,,
153,Franklin County,,
134,Frederick County,424,0.18
153,Frederick County,,
58,Fredericksburg city,294,1.21
140,Fresno County,1096,0.12
32,Fulton County,19656,2.14
109,Fulton County,240,0.43
153,Fulton County,,
153,Gadsden County,,
120,Gallatin County,284,0.32
142,Galveston County,305,0.1
137,Garland County,148,0.15
142,Gaston County,200,0.1
153,Geauga County,,
136,Genesee County,673,0.16
153,Genesee County,,
133,Georgetown County,116,0.19
150,Gloucester County,60,0.02
153,Gloucester County,,
134,Glynn County,146,0.18
153,Goochland County,,
153,Grafton County,,
153,Grainger County,,
137,Grand Forks County,100,0.15
153,Grand Isle County,,
136,Grand Traverse County,140,0.16
144,Grant County,54,0.08
153,Grant Parish,,
149,Grays Harbor County,22,0.03
149,Grayson County,40,0.03
153,Green County,,
141,Greene County,297,0.11
108,Greene County,216,0.44
153,Greene County,,
153,Greene County,,
134,Greenville County,815,0.18
147,Gregg County,57,0.05
153,Grundy County,,
153,Guadalupe County,,
93,Guilford County,2947,0.6
148,Gwinnett County,338,0.04
153,Halifax County,,
153,Hall County,,
138,Hamilton County,383,0.14
55,Hamilton County,10829,1.35
115,Hamilton County,1230,0.37
75,Hampden County,3929,0.85
56,Hampshire County,2082,1.32
110,Hampton city,575,0.42
153,Hancock County,,
153,Hancock County,,
153,Hanover County,,
153,Hardin County,,
130,Harford County,543,0.22
100,Harris County,21807,0.53
145,Harrison County,124,0.07
153,Harrison County,,
153,Harrison County,,
113,Harrisonburg city,192,0.39
45,Hartford County,14131,1.58
153,Harvey County,,
149,Hawaii County,60,0.03
153,Hawkins County,,
153,Hays County,,
136,Haywood County,30,0.16
125,Henderson County,286,0.27
153,Hendricks County,,
48,Hennepin County,17457,1.51
153,Henrico County,,
153,Henry County,,
153,Henry County,,
153,Henry County,,
135,Herkimer County,111,0.17
134,Hernando County,316,0.18
147,Hidalgo County,367,0.05
139,Highlands County,124,0.13
98,Hillsborough County,6822,0.55
103,Hillsborough County,2020,0.5
128,Hinds County,578,0.24
130,Holmes County,43,0.22
144,Honolulu County,778,0.08
148,Horry County,100,0.04
153,Hot Spring County,,
140,Houghton County,43,0.12
138,Houston County,143,0.14
153,Houston County,,
145,Howard County,57,0.07
57,Howard County,3584,1.25
93,Hudson County,3821,0.6
153,Huerfano County,,
127,Humboldt County,340,0.25
118,Hunterdon County,438,0.34
153,Huntingdon County,,
142,Iberia Parish,76,0.1
153,Iberville Parish,,
149,Imperial County,49,0.03
117,Indian River County,483,0.35
145,Indiana County,62,0.07
116,Ingham County,1002,0.36
142,Iredell County,162,0.1
141,Isabella County,76,0.11
153,Isanti County,,
153,Jackson County,,
153,Jackson County,,
140,Jackson County,192,0.12
140,Jackson County,819,0.12
126,Jackson County,527,0.26
153,James City County,,
144,Jasper County,92,0.08
91,Jefferson County,4120,0.63
146,Jefferson County,46,0.06
137,Jefferson County,808,0.15
85,Jefferson County,5199,0.7
153,Jefferson County,,
143,Jefferson County,103,0.09
