mapX,mapY,pixelX,pixelY,enable,dX,dY,residual
1986251.63428171863779426,784278.85603511438239366,2291.77055107212618168,-1818.33844593880212415,1,2.0046386406243073,-2.3607136810405791,3.09702198302437504
1986545.65006760274991393,783589.49659746221732348,2527.91213036139788528,-2357.08749817262514625,1,5.64982881887635813,-5.28626881439959107,7.7372607336640451
1987261.96161672030575573,783491.58350801421329379,3077.10693372084233488,-2444.61826926699222895,1,-0.11890655271599826,1.76136926963363294,1.76537828022453036
1987207.8913924265652895,784189.66023075708653778,3044.58682084897827735,-1888.7370875600618092,1,2.6121169625175753,-1.98147154675871207,3.27862540045159889
1987240.07982507115229964,784730.20390999177470803,3088.96005897320492295,-1453.81856868492832291,1,-1.20368905480609101,1.10747470667615744,1.63565508790436076
1987069.54455753811635077,783629.69249733979813755,2936.46504370724233013,-2331.40572679250954025,1,-2.68225752467151324,-0.40227861542825849,2.71225616656831114
1986297.85463353828527033,783807.48205449490342289,2343.50485480061342969,-2171.38853588561914876,1,-6.77253449778072536,7.96172836391360761,10.45257585786280963
1985581.70164812845177948,783581.52877115353476256,1771.81950609053342305,-2346.4500780743528594,1,0.51080320795858825,-0.79983968259512039,0.94903289464309282
